Date,Close,Index
2018-04-17,2176.15,DS30
2018-04-18,2190.77,DS30
2018-04-19,2204.17,DS30
2018-04-22,2187.06,DS30
2018-04-23,2179.85,DS30
2018-04-24,2164.7,DS30
2018-04-25,2166.69,DS30
2018-04-26,2171.81,DS30
2018-04-30,2143.54,DS30
2018-05-03,2128.31,DS30
2018-05-06,2119.85,DS30
2018-05-07,2114.12,DS30
2018-05-08,2095.55,DS30
2018-05-09,2085.52,DS30
2018-05-10,2073.53,DS30
2018-05-13,2075.36,DS30
2018-05-14,2075.86,DS30
2018-05-15,2072.12,DS30
2018-05-16,2055.55,DS30
2018-05-17,2025.38,DS30
2018-05-20,2009.01,DS30
2018-05-21,2007.08,DS30
2018-05-22,1990.78,DS30
2018-05-23,1988.41,DS30
2018-05-24,2014.87,DS30
2018-05-27,2023.18,DS30
2018-05-28,2011.4,DS30
2018-05-29,2006.01,DS30
2018-05-30,2001.79,DS30
2018-05-31,1974.99,DS30
2018-06-03,1965.46,DS30
2018-06-04,1973.01,DS30
2018-06-05,1980.43,DS30
2018-06-06,1993.55,DS30
2018-06-07,1978.07,DS30
2018-06-10,1954.05,DS30
2018-06-11,1952.97,DS30
2018-06-12,1958.21,DS30
2018-06-18,1941.86,DS30
2018-06-19,1942.47,DS30
2018-06-20,1954.7,DS30
2018-06-21,1981.8,DS30
2018-06-24,2010.42,DS30
2018-06-25,1977.04,DS30
2018-06-26,1965.68,DS30
2018-06-27,1968.56,DS30
2018-06-28,1959.94,DS30
2018-07-02,1915.82,DS30
2018-07-03,1894.53,DS30
2018-07-04,1902.57,DS30
2018-07-05,1926.46,DS30
2018-07-08,1929.13,DS30
2018-07-09,1910.77,DS30
2018-07-10,1911.85,DS30
2018-07-11,1915.34,DS30
2018-07-12,1906.77,DS30
2018-07-15,1895.16,DS30
2018-07-16,1897.24,DS30
2018-07-17,1894.37,DS30
2018-07-18,1899.97,DS30
2018-07-19,1904.46,DS30
2018-07-22,1908.52,DS30
2018-07-23,1913.05,DS30
2018-07-24,1902.94,DS30
2018-07-25,1895.09,DS30
2018-07-26,1890.51,DS30
2018-07-29,1878.76,DS30
2018-07-30,1871.73,DS30
2018-07-31,1881.46,DS30
2018-08-01,1894.3,DS30
2018-08-02,1899.23,DS30
2018-08-05,1887.15,DS30
2018-08-06,1889.42,DS30
2018-08-07,1901.83,DS30
2018-08-08,1905.29,DS30
2018-08-09,1893.33,DS30
2018-08-12,1892.7,DS30
2018-08-13,1884.94,DS30
2018-08-14,1901.42,DS30
2018-08-16,1915.27,DS30
2018-08-19,1938.38,DS30
2018-08-20,1948.16,DS30
2018-08-26,1961.77,DS30
2018-08-27,1964.88,DS30
2018-08-28,1974.3,DS30
2018-08-29,1967.81,DS30
2018-08-30,1960.71,DS30
2018-09-03,1959.66,DS30
2018-09-04,1950.33,DS30
2018-09-05,1955.61,DS30
2018-09-06,1958.53,DS30
2018-09-09,1947.39,DS30
